"Quantity","Value"
"shielded.proton.gyromag..ratio.over.2.pi",4.26E+001
"shielded.proton.mag..mom.",1.41E-026
"shielded.proton.mag..mom..to.Bohr.magneton.ratio",1.52E-003
"shielded.proton.mag..mom..to.nuclear.magneton.ratio",2.79E+000
"speed.of.light.in.vacuum",3.00E+008
"standard.acceleration.of.gravity",9.81E+000
"standard.atmosphere",1.01E+005
"Stefan-Boltzmann.constant",5.67E-008
"tau.Compton.wavelength",6.98E-016
"tau.Compton.wavelength.over.2.pi",1.11E-016
"tau-electron.mass.ratio",3.48E+003
"tau.mass",3.17E-027
"tau.mass.energy.equivalent",2.85E-010
"tau.mass.energy.equivalent.in.MeV",1.78E+003
"tau.mass.in.u",1.91E+000
"tau.molar.mass",1.91E-003
"tau-muon.mass.ratio",1.68E+001
"tau-neutron.mass.ratio",1.89E+000
"tau-proton.mass.ratio",1.89E+000
"Thomson.cross.section",6.65E-029
"triton-electron.mag..mom..ratio",-1.62E-003
"triton-electron.mass.ratio",5.50E+003
"triton.g.factor",5.96E+000
"triton.mag..mom.",1.50E-026
"triton.mag..mom..to.Bohr.magneton.ratio",1.62E-003
"triton.mag..mom..to.nuclear.magneton.ratio",2.98E+000
"triton.mass",5.01E-027
"triton.mass.energy.equivalent",4.50E-010
"triton.mass.energy.equivalent.in.MeV",2.81E+003
"triton.mass.in.u",3.02E+000
"triton.molar.mass",3.02E-003
"triton-neutron.mag..mom..ratio",-1.56E+000
"triton-proton.mag..mom..ratio",1.07E+000
"triton-proton.mass.ratio",2.99E+000
"unified.atomic.mass.unit",1.66E-027
"von.Klitzing.constant",2.58E+004
"weak.mixing.angle",2.23E-001
"Wien.frequency.displacement.law.constant",5.88E+010
"Wien.wavelength.displacement.law.constant",2.90E-003
